x/m,time_1,time_2,time_3,t/s,err_distance,err_time
0.1,0.1458,0.1462,0.1536,0.148533333,0.05,0.004392418
0.15,0.1723,0.1746,0.1745,0.1738,0.05,0.0013
0.2,0.2026,0.199,0.1979,0.199833333,0.05,0.002458319
0.25,0.2241,0.2227,0.2234,0.2234,0.05,0.0007
0.3,0.2405,0.2398,0.2437,0.241333333,0.05,0.002079263
0.35,0.2644,0.2609,0.2651,0.263466667,0.05,0.002250185
0.4,0.2849,0.2821,0.2837,0.283566667,0.05,0.001404754
0.45,0.2999,0.2999,0.3037,0.301166667,0.05,0.002193931
0.5,0.3174,0.3117,0.3151,0.314733333,0.05,0.002867635
0.55,0.3302,0.3287,0.3335,0.3308,0.05,0.002455606
0.6,0.3433,0.3472,0.3492,0.346566667,0.05,0.003000556
0.65,0.3572,0.3586,0.3597,0.3585,0.05,0.001252996
0.7,0.3694,0.379,0.3721,0.3735,0.05,0.004950758
0.75,0.388,0.4065,0.4088,0.4011,0.05,0.01140307
