distance_m,m1_T1_s,m1_T2_s,m1_T_avg,m2_T1_s,m2_T2_s,m2_T_avg,l1,l2
0.05,69.41,69.43,69.42,61.72,61.65,61.685,,
0.1,66.03,65.69,65.86,61.25,61.21,61.23,,
0.15,63.41,63.37,63.39,60.56,60.88,60.72,,
0.2,61.43,61.57,61.5,60.56,60.63,60.595,,
0.25,59.94,59.96,59.95,59.93,60.1,60.015,0.217,0.717
0.3,59.5,59.37,59.435,59.75,59.75,59.75,0.24,0.694
0.35,58.78,58.82,58.8,59.54,59.66,59.6,0.255,0.679
0.4,58.5,58.59,58.545,59.44,59.37,59.405,0.275,0.659
0.45,58.56,58.65,58.605,59.56,59.62,59.59,0.295,0.639
0.5,58.81,58.75,58.78,59.28,59.28,59.28,0.31,0.624
0.55,59,59.15,59.075,59.56,59.54,59.55,0.33,0.604
0.6,59.62,59.5,59.56,59.68,59.75,59.715,0.35,0.584
0.65,60.03,60,60.015,60.09,60.03,60.06,0.37,0.564
0.7,60.6,60.22,60.41,60.5,60.56,60.53,0.39,0.544
0.75,61.35,61.41,61.38,61.19,61.03,61.11,0.41,0.5244
0.8,62.25,62.22,62.235,61.72,61.66,61.69,0.43,0.504
0.85,63.03,62.93,62.98,62.5,62.7,62.6,0.45,0.484
